小时,温度,风力方向,风级,降水量,相对湿度,空气质量
09,30.4,南风,1,0,69,
08,29.2,东南风,1,0,73,27
07,28.2,,0,0,78,25
06,27.7,,0,0,80,27
05,28.2,西南风,1,0,76,30
04,28.2,,0,0,74,30
03,28.6,,0,0,70,30
02,30,南风,1,0,65,31
01,30.2,南风,1,0,69,32
00,31.3,,0,0,63,32
23,32.6,北风,1,0,59,32
22,33.5,北风,1,0,55,36
21,33.8,北风,1,0,55,42
20,35.1,北风,1,0,51,48
19,36,西北风,1,0,47,63
18,37.2,东北风,1,0,43,60
17,38.3,东北风,1,0,41,58
16,38.7,北风,2,0,42,57
15,37.8,东北风,1,0,44,50
14,37.5,北风,1,0,43,50
13,36.7,北风,2,0,45,46
12,35.7,西北风,1,0,48,42
11,35.4,北风,1,0,49,38
10,34.4,东北风,1,0,52,32
